# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 1
# wmin : 300
# wmax : 1100
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
1.064       0.9687        931.3
1.065       0.9677        908.9
1.066       0.9678        916.8
1.067       0.9685        621.3
1.068       0.9679        628.8
1.069       0.9700       1709.8
1.070       0.9716       3053.1
1.071       0.9737       7468.4
1.072       0.9737       3351.5
1.073       0.9750      11642.5
1.074       0.9769        684.2
1.075       0.9736      18078.1
1.076       0.9776        701.5
1.077       0.9753        787.7
1.078       0.9758       5128.7
1.079       0.9793        728.5
1.080       0.9737        759.5
1.081       0.9746        753.0
1.082       0.9786        749.9
1.083       0.9782      37452.1
1.084       0.9723      13900.4
1.085       0.9773       1149.8
1.086       0.9620       4772.7
1.087       0.9759        853.8
1.088       0.9785       1881.1
1.089       0.9745        679.8
1.090       0.9672       8169.4
1.091       0.9772        661.5
1.092       0.9801        653.0
1.093       0.9533      24405.6
1.094       0.9767        624.0
1.095       0.9650       9763.4
1.096       0.9590        596.9
1.097       0.9792        608.6
1.098       0.9602      26471.3
1.099       0.9627        569.4
1.100       0.9486        553.3

