# name: lapalma_sky
# wavelength_unit: angstrom
# emission_unit: flam
# rescale_emission: {filter_name: "V", value: 21.9, unit: mag}
wavelength     emission
5640.706       6.869421
5649.443       7.338941
5658.181       7.344174
5666.918       7.847760
5675.656       8.038104
5684.393       7.937041
5693.130       7.653146
5701.868       7.600183
5710.605       7.379996
5719.343       7.432281
5728.080       7.068649
5736.817       7.666768
5745.555       8.036978
5754.292       8.349679
5763.030       8.777937
5771.767       9.057619
5780.505       8.910110
5789.242       8.741551
5797.979       8.278676
5806.717       7.709424
5815.455       8.163681
5824.192       8.429008
5832.929       8.219714
5841.667       8.029663
5850.404       9.288519
5859.142       10.42022
5867.879       14.67553
5876.616       27.14800
5885.354       33.41935
5894.091       30.98001
5902.829       16.94251
5911.566       12.07974
5920.303       11.70735
5929.041       11.23321
5937.778       11.30108
5946.516       11.04405
5955.253       10.81049
5963.991       10.51054
5972.728       10.36487
5981.465       9.718028
5990.203       9.570586
5998.940       9.170858
6007.678       9.110817
6016.415       8.906354
6025.152       9.058304
6033.890       8.729402
6042.627       8.277314
6051.365       8.200466
6060.102       8.094646
6068.839       8.042693
6077.577       8.173195
6086.314       8.418072
6095.052       8.167545
6103.789       8.498891
6112.527       8.149182
6121.264       8.405724
6130.001       9.114092
6138.739       10.97341
6147.477       11.81818
6156.214       11.77380
6164.951       10.56846
6173.688       9.294333
6182.426       9.111381
6191.164       9.616651
6199.901       9.840776
6208.638       10.02958
6217.375       11.08837
6226.113       12.49204
6234.851       12.89859
6243.588       13.52190
6252.325       12.78792
6261.063       12.45407
6269.800       12.21325
6278.538       26.27197
6287.275       61.36075
6296.013       67.34009
6304.750       50.29584
6313.487       18.21148
6322.225       11.69811
6330.962       11.20870
6339.700       12.45012
6348.437       24.82592
6357.174       28.00998
6365.912       26.18239
6374.649       12.94025
6383.387       9.315393
6392.124       8.350577
6400.861       8.286942
6409.599       8.217081
6418.336       8.299891
6427.074       8.034387
6435.811       8.733640
6444.549       10.19547
6453.286       12.82794
6462.023       12.85707
6470.761       11.24575
6479.499       10.74483
6488.236       11.99628
6496.973       12.52890
6505.710       11.44739
6514.448       10.56094
6523.186       11.35252
6531.923       12.17569
6540.660       12.46359
6549.397       12.53705
6558.135       13.07215
6566.873       11.75403
6575.610       10.87474
6584.347       9.818315
6593.085       9.315617
6601.822       9.616949
6610.560       8.496084
6619.297       8.551476
6628.035       8.826648
6636.772       8.547610
6645.509       8.414535
6654.247       8.243909
6662.984       8.040358
6671.722       8.188839
6680.459       7.658106
6689.196       8.202048
6697.934       8.556728
6706.671       8.233108
6715.409       8.330832
6724.146       7.977438
6732.883       8.024846
6741.621       8.112512
6750.358       7.700651
6759.096       8.146505
6767.833       7.757274
6776.571       7.917338
6785.308       7.879902
6794.045       7.920517
6802.783       8.574752
6811.521       14.06340
6820.258       19.44652
6828.995       20.68052
6837.732       16.31826
6846.470       16.57442
6855.208       18.59173
6863.945       18.67320
6872.682       14.58885
6881.419       12.74432
6890.157       13.35422
6898.895       14.39768
6907.632       16.91769
6916.369       16.88166
6925.107       16.60525
6933.844       17.03631
6942.582       17.23767
6951.319       15.60190
6960.057       14.20910
6968.794       14.85639
6977.531       13.52385
6986.269       12.40087
6995.006       12.55913
7003.744       12.30621
7012.481       10.69807
7021.218       9.471850
7029.956       10.20835
7038.693       10.61119
7047.431       11.01905
7056.168       9.985415
7064.905       9.791493
7073.643       10.04090
7082.380       10.03631
7091.118       9.366095
7099.855       8.658779
7108.593       9.035003
7117.330       9.460226
7126.067       9.813774
7134.805       10.11032
7143.542       10.25376
7152.280       9.799378
7161.017       9.762479
7169.754       9.692055
7178.492       9.155281
7187.229       8.591736
7195.967       8.845718
7204.704       9.136509
7213.441       10.98242
7222.179       25.42946
7230.917       38.99697
7239.654       41.09462
7248.391       29.11108
7257.129       29.44138
7265.866       38.09331
7274.604       40.67322
7283.341       30.57939
7292.079       25.70222
7300.816       31.59976
7309.553       33.65384
7318.291       36.37410
7327.028       36.64819
7335.766       34.70928
7344.503       31.65801
7353.240       30.18539
7361.978       28.78432
7370.715       24.40037
7379.453       20.38063
7388.190       23.01649
7396.927       22.34501
7405.665       17.54624
7414.402       14.89377
7423.140       16.92508
7431.877       16.41589
7440.615       14.87700
7449.352       16.39701
7458.089       22.73663
7466.827       27.42782
7475.564       25.12164
7484.302       18.70913
7493.039       13.48618
7501.776       18.66839
7510.514       29.10528
7519.251       31.87171
7527.989       24.58679
7536.726       16.64976
7545.463       17.45139
7554.201       24.26703
7562.938       26.35440
7571.676       26.51905
7580.413       20.56477
7589.151       15.96002
7597.888       13.88021
7606.625       14.44551
7615.363       16.97546
7624.100       14.49010
7632.838       12.75099
7641.575       14.16940
7650.313       16.17335
7659.050       15.16573
7667.788       13.39942
7676.525       14.81935
7685.262       19.49295
7694.000       40.29956
7702.737       56.07301
7711.475       57.79976
7720.212       38.94152
7728.949       37.16922
7737.687       48.85600
7746.424       61.95638
7755.162       77.87212
7763.899       76.21624
7772.636       76.99209
7781.374       52.20265
7790.111       45.32944
7798.849       45.73813
7807.586       47.55128
7816.324       45.19876
7825.061       39.70738
7833.798       53.37038
7842.536       70.25840
7851.273       77.87019
7860.011       65.58731
7868.748       58.27081
7877.485       45.77362
7886.223       41.61502
7894.960       62.74349
7903.698       80.08521
7912.435       81.31318
7921.172       50.20393
7929.910       36.30624
7938.647       35.88884
7947.385       51.43924
7956.122       57.41169
7964.860       58.73381
7973.597       62.86587
7982.334       59.48011
7991.072       53.31317
7999.810       41.02814
8008.547       49.91902
8017.284       47.00211
8026.021       35.64408
8034.759       25.53500
8043.497       30.80042
8052.234       30.92866
8060.971       24.58267
8069.709       17.40947
8078.446       19.21754
8087.184       21.48521
8095.921       20.29880
8104.658       16.14036
8113.396       13.73943
8122.133       15.65528
8130.871       16.27927
8139.608       15.77239
8148.346       13.19658
8157.083       12.68895
8165.820       14.81749
8174.558       18.08024
8183.295       18.37136
8192.032       16.83965
8200.771       14.76295
8209.508       12.89265
8218.245       12.79430
8226.982       13.86233
8235.720       13.58859
8244.457       14.86039
8253.194       24.13026
8261.932       55.44412
8270.669       89.72760
8279.407       113.1869
8288.145       96.29279
8296.882       64.72826
8305.619       33.64059
8314.356       32.87040
8323.094       91.99649
8331.831       132.3290
8340.568       131.1406
8349.307       73.18710
8358.044       47.79260
8366.781       45.67465
8375.519       77.83490
8384.256       89.59544
8392.993       99.05686
8401.730       82.30135
8410.468       105.9263
8419.205       106.8244
8427.943       105.1332
8436.681       83.44334
8445.418       97.71917
8454.155       79.86951
8462.893       57.28052
8471.630       37.16692
8480.367       47.49369
8489.104       56.37239
8497.843       47.04404
8506.580       25.82950
8515.317       20.72115
8524.055       28.53656
8532.792       32.58438
8541.529       28.79088
8550.267       18.64576
8559.004       15.23361
8567.741       17.45273
8576.479       21.90382
8585.217       23.14647
8593.954       29.35770
8602.691       44.98643
8611.429       61.71357
8620.166       64.89596
8628.903       61.19753
8637.641       64.68821
8646.379       69.52797
8655.116       62.67079
8663.854       46.90904
8672.591       33.20958
8681.328       24.69432
8690.065       19.68802
8698.803       16.92467
8707.540       14.46640
8716.277       14.19133
8725.016       17.85613
8733.753       51.25991
8742.490       118.4753
8751.228       182.8832
8759.965       184.2577
8768.702       140.7851
8777.439       77.29897
8786.177       41.62671
8794.915       45.91504
8803.652       142.3101
8812.390       210.3059
8821.127       211.9712
8829.864       119.8848
8838.602       68.24980
8847.339       65.66325
8856.076       90.31052
8864.813       132.5955
8873.552       143.3435
8882.289       135.1937
8891.026       133.1834
8899.764       162.5753
8908.501       152.7828
8917.238       117.6208
8925.976       88.46051
8934.713       133.8831
8943.451       128.9750
8952.188       100.6822
8960.926       54.93105
